Construction,Accuracy,F1,ROC-AUC,MCC,Recall,Specificity
"Corr+MST, τ=0.15 (Ours)",0.8109 ± 0.0652,0.7971 ± 0.0597,0.9051 ± 0.0413,0.6280 ± 0.1240,0.8011 ± 0.0748,0.8196 ± 0.1208
"Corr only, τ=0.15",0.8032 ± 0.0787,0.7936 ± 0.0692,0.9027 ± 0.0437,0.6164 ± 0.1468,0.8105 ± 0.0825,0.7974 ± 0.1464
"k-NN, k=2",0.8185 ± 0.0608,0.8076 ± 0.0585,0.8990 ± 0.0429,0.6429 ± 0.1195,0.8249 ± 0.0751,0.8134 ± 0.1032
"k-NN, k=3",0.8054 ± 0.1102,0.8021 ± 0.0756,0.9015 ± 0.0406,0.6180 ± 0.2033,0.8200 ± 0.0819,0.7932 ± 0.2300
"k-NN, k=4",0.8163 ± 0.0632,0.8023 ± 0.0632,0.9036 ± 0.0402,0.6363 ± 0.1209,0.8102 ± 0.0805,0.8212 ± 0.1022
