Formulation,Accuracy,Precision,Recall,F1,ROC-AUC,MCC,Specificity
Feature-node graph (Ours),0.8109 ± 0.0652,0.8044 ± 0.0999,0.8011 ± 0.0748,0.7971 ± 0.0597,0.9051 ± 0.0413,0.6280 ± 0.1240,0.8196 ± 0.1208
Patient-similarity graph (k=15),0.8021 ± 0.0467,0.7791 ± 0.0963,0.8275 ± 0.0970,0.7931 ± 0.0447,0.8891 ± 0.0358,0.6184 ± 0.0895,0.7807 ± 0.1163
