Model,Accuracy,Precision,Recall,F1,ROC-AUC,MCC,Specificity
GCN (Ours),0.8053,0.7817,0.7986,0.79,0.9034,0.6087,0.811
Logistic Regression,0.8152,0.7748,0.8417,0.8069,0.9062,0.6322,0.7927
Random Forest,0.8152,0.7823,0.8273,0.8042,0.907,0.6303,0.8049
Gradient Boosting,0.7921,0.75,0.8201,0.7835,0.8759,0.5864,0.7683
MLP,0.7921,0.7468,0.8273,0.785,0.8639,0.5876,0.7622
XGBoost,0.802,0.7687,0.8129,0.7902,0.8825,0.6038,0.7927
LightGBM,0.8185,0.7877,0.8273,0.807,0.8869,0.6366,0.811
